,product_name_on_flipkart,retail_price_on_flipkart,discounted_price_on_flipkart,product_name_on_amazon,retail_price_on_amazon,discounted_price_on_amazon
61,999store m paper sticker,987,700,999store medium paper sticker,999.0,599.0
62,elite collection m acrylic sticker,1588,1471,elite collection medium acrylic sticker,1599.0,1199.0
63,walldesign s vinyl sticker,1101,623,walldesign small vinyl sticker,1120.0,550.0
64,wallmantra m vinyl stickers sticker,763,712,wallmantra medium vinyl stickers sticker,779.0,623.0
65,999store m paper sticker,995,710,999store medium paper sticker,999.0,599.0
66,wallmantra m vinyl sticker sticker,3449,1649,wallmantra medium vinyl sticker sticker,3465.0,1333.0
67,walldesign s vinyl sticker,1064,600,walldesign small vinyl sticker,1080.0,530.0
68,walldesign s vinyl sticker,1269,714,walldesign small vinyl sticker,1280.0,630.0
69,walldesign s vinyl sticker,1035,654,walldesign small vinyl sticker,1040.0,510.0
70,walldesign s vinyl sticker,1494,918,walldesign small vinyl sticker,1500.0,730.0
71,999store m paper sticker,979,729,999store medium paper sticker,999.0,599.0
72,999store m paper sticker,985,778,999store medium paper sticker,999.0,599.0
73,wallmantra m vinyl stickers sticker,761,753,wallmantra medium vinyl stickers sticker,779.0,623.0
74,wallmantra m vinyl stickers sticker,775,752,wallmantra medium vinyl stickers sticker,779.0,623.0
75,walldesign s vinyl sticker,1068,636,walldesign small vinyl sticker,1080.0,530.0
76,elite collection m acrylic sticker,1297,1241,elite collection medium acrylic sticker,1299.0,999.0
77,walldesign s vinyl sticker,1296,770,walldesign small vinyl sticker,1300.0,640.0
78,walldesign s vinyl sticker,1026,615,walldesign small vinyl sticker,1040.0,510.0
79,wallmantra s vinyl stickers sticker,722,713,wallmantra small vinyl stickers sticker,727.0,582.0
80,walldesign s vinyl sticker,1595,1019,walldesign small vinyl sticker,1600.0,790.0
81,elite collection m acrylic sticker,1296,1250,elite collection medium acrylic sticker,1299.0,999.0
82,walldesign s vinyl sticker,1116,686,walldesign small vinyl sticker,1120.0,550.0
83,walldesign s vinyl sticker,1075,602,walldesign small vinyl sticker,1080.0,530.0
84,walldesign s vinyl sticker,1587,877,walldesign small vinyl sticker,1600.0,790.0
85,walldesign s vinyl sticker,1472,859,walldesign small vinyl sticker,1480.0,720.0
86,999store m paper sticker,986,735,999store medium paper sticker,999.0,599.0
87,wallmantra m vinyl stickers sticker,714,689,wallmantra medium vinyl stickers sticker,727.0,582.0
88,elite collection m acrylic sticker,1293,1104,elite collection medium acrylic sticker,1299.0,999.0
89,elite collection m acrylic sticker,994,845,elite collection medium acrylic sticker,999.0,699.0
90,walldesign s vinyl sticker,1028,621,walldesign small vinyl sticker,1040.0,510.0
91,walldesign s vinyl sticker,1288,767,walldesign small vinyl sticker,1300.0,640.0
92,elite collection m acrylic sticker,1282,1274,elite collection medium acrylic sticker,1299.0,999.0
93,elite collection m acrylic sticker,1488,1331,elite collection medium acrylic sticker,1499.0,1199.0
94,walldesign s vinyl sticker,1281,730,walldesign small vinyl sticker,1300.0,640.0
95,walldesign s vinyl sticker,1290,741,walldesign small vinyl sticker,1300.0,640.0
0,alisha solid women's cycling shorts,982,438,alisha solid women's cycling shorts,999.0,379.0
1,fabhomedecor fabric double sofa bed,32143,29121,fabhomedecor fabric double sofa bed,32157.0,22646.0
2,aw bellies,991,551,aw bellies,999.0,499.0
3,alisha solid women's cycling shorts,694,325,alisha solid women's cycling shorts,699.0,267.0
4,sicons all purpose arnica dog shampoo,208,258,sicons all purpose arnica dog shampoo,220.0,210.0
5,eternal gandhi super series crystal paper weights  with silver finish,427,473,eternal gandhi super series crystal paper weights  with silver finish,430.0,430.0
6,alisha solid women's cycling shorts,1198,602,alisha solid women's cycling shorts,1199.0,479.0
7,fabhomedecor fabric double sofa bed,32137,28664,fabhomedecor fabric double sofa bed,32157.0,22646.0
8,"dilli bazaaar bellies, corporate casuals, casuals",682,385,"dilli bazaaar bellies, corporate casuals, casuals",699.0,349.0
9,alisha solid women's cycling shorts,1197,542,alisha solid women's cycling shorts,1199.0,479.0
10,ladela bellies,1705,1119,ladela bellies,1724.0,950.0
11,carrel printed women's,2281,1080,carrel printed women's,2299.0,910.0
12,sicons all purpose tea tree dog shampoo,-11,0,sicons all purpose tea tree dog shampoo,,
13,alisha solid women's cycling shorts,990,479,alisha solid women's cycling shorts,999.0,379.0
14,freelance vacuum bottles 350 ml bottle,690,822,freelance vacuum bottles 350 ml bottle,699.0,699.0
15,alisha solid women's cycling shorts,995,434,alisha solid women's cycling shorts,999.0,379.0
16,fabhomedecor fabric double sofa bed,32150,28650,fabhomedecor fabric double sofa bed,32157.0,22646.0
17,style foot bellies,894,514,style foot bellies,899.0,449.0
18,carrel printed women's,2482,1156,carrel printed women's,2499.0,999.0
19,fabhomedecor fabric double sofa bed,32144,26423,fabhomedecor fabric double sofa bed,32157.0,22646.0
20,sicons conditioning conditoner dog shampoo,97,119,sicons conditioning conditoner dog shampoo,110.0,100.0
21,alisha solid women's cycling shorts,-2,0,alisha solid women's cycling shorts,,
22,dongli printed boy's round neck t-shirt,2382,1254,dongli printed boy's round neck t-shirt,2400.0,1039.0
23,swagga women clogs,1490,1821,swagga women clogs,1500.0,1500.0
24,kennel rubber dumbell with bell - small rubber rubber toy for dog,185,209,kennel rubber dumbell with bell - small rubber rubber toy for dog,190.0,190.0
25,glus wedding lingerie set,1295,869,glus wedding lingerie set,1299.0,699.0
26,veelys shiny white quad roller skates - size 4.5 uk,3193,2835,veelys shiny white quad roller skates - size 4.5 uk,3199.0,2499.0
27,bulaky vanity case jewellery vanity case,488,490,bulaky vanity case jewellery vanity case,499.0,390.0
29,madcaps c38gr30 men's cargos,2183,2100,madcaps c38gr30 men's cargos,2199.0,1699.0
30,bengal blooms rose artificial plant  with pot,783,710,bengal blooms rose artificial plant  with pot,799.0,579.0
31,indcrown net embroidered semi-stitched lehenga choli material,994,854,indcrown net embroidered semi-stitched lehenga choli material,999.0,699.0
32,shopmania music band a5 notebook spiral bound,483,347,shopmania music band a5 notebook spiral bound,499.0,275.0
33,shopmania music band a5 notebook spiral bound,487,330,shopmania music band a5 notebook spiral bound,499.0,275.0
34,"tiara diaries 2016-2017 designer la kaarta ""taking action getting result"" (set of 3) b5 notebook hard bound",993,1019,"tiara diaries 2016-2017 designer la kaarta ""taking action getting result"" (set of 3) b5 notebook hard bound",1000.0,837.0
35,kajci embroidered women's waistcoat,1183,822,kajci embroidered women's waistcoat,1200.0,699.0
36,packman 8 x 10 inches security bags without pod jacket courier bag security bag,347,343,packman 8 x 10 inches security bags without pod jacket courier bag security bag,350.0,298.0
37,pick pocket embroidered women's waistcoat,886,1167,pick pocket embroidered women's waistcoat,899.0,899.0
38,angelfish silk potali potli,983,482,angelfish silk potali potli,999.0,399.0
39,oye boy's dungaree,893,985,oye boy's dungaree,899.0,764.0
40,nuride canvas shoes,1990,1625,nuride canvas shoes,1999.0,1349.0
41,om shivakriti square wall clock showpiece  -  38.1 cm,1480,1786,om shivakriti square wall clock showpiece  -  38.1 cm,1499.0,1499.0
42,himmlisch st381 magnetic sun shade for maruti alto,6990,2313,himmlisch st381 magnetic sun shade for maruti alto,6999.0,1899.0
43,rapter bnc-179 bnc wire connector,2279,1582,rapter bnc-179 bnc wire connector,2299.0,1400.0
44,vishudh printed women's straight kurta,987,562,vishudh printed women's straight kurta,999.0,499.0
45,vishudh printed women's straight kurta,892,556,vishudh printed women's straight kurta,899.0,449.0
46,vishudh printed women's anarkali kurta,2089,1161,vishudh printed women's anarkali kurta,2099.0,1049.0
47,buildtrack pir wireless motion sensor - one switch control wireless sensor security system,6482,6153,buildtrack pir wireless motion sensor - one switch control wireless sensor security system,6500.0,5000.0
48,skayvon summersible single phase pump controller wired sensor security system,9972,6022,skayvon summersible single phase pump controller wired sensor security system,9990.0,4990.0
49,masara solid women's straight kurta,1396,686,masara solid women's straight kurta,1399.0,599.0
50,vishudh printed women's straight kurta,887,544,vishudh printed women's straight kurta,899.0,449.0
51,rapter bnc-047 bnc wire connector,1288,1023,rapter bnc-047 bnc wire connector,1299.0,899.0
52,skayvon submersibble three phase pump controller wired sensor security system,8979,5877,skayvon submersibble three phase pump controller wired sensor security system,8999.0,4990.0
53,vishudh printed women's straight kurta,888,554,vishudh printed women's straight kurta,899.0,449.0
54,behringer xenyx 502 analog sound mixer,9984,7854,behringer xenyx 502 analog sound mixer,10000.0,6600.0
55,vishudh printed women's straight kurta,879,512,vishudh printed women's straight kurta,899.0,449.0
56,vishudh printed women's straight kurta,879,534,vishudh printed women's straight kurta,899.0,449.0
57,masara solid women's straight kurta,1382,711,masara solid women's straight kurta,1399.0,599.0
58,masara solid women's straight kurta,1382,694,masara solid women's straight kurta,1399.0,550.0
59,roadster men's zipper solid cardigan,1380,887,roadster men's zipper solid cardigan,1399.0,699.0
60,vishudh printed women's straight kurta,995,638,vishudh printed women's straight kurta,999.0,499.0
61,noor embroidered women's straight kurta,1639,1041,noor embroidered women's straight kurta,1649.0,849.0
62,masara solid women's straight kurta,1388,660,masara solid women's straight kurta,1399.0,599.0
63,vishudh printed women's straight kurta,888,562,vishudh printed women's straight kurta,899.0,449.0
64,libas printed women's a-line kurta,887,570,libas printed women's a-line kurta,899.0,449.0
65,libas printed women's anarkali kurta,1831,1142,libas printed women's anarkali kurta,1849.0,924.0
66,masara solid women's straight kurta,981,647,masara solid women's straight kurta,999.0,499.0
67,hrs ultimate boy chest pads,427,491,hrs ultimate boy chest pads,440.0,395.0
68,vermello men casual brown genuine leather belt,1488,918,vermello men casual brown genuine leather belt,1495.0,795.0
69,hrs club boy thigh pads,273,298,hrs club boy thigh pads,280.0,250.0
70,ligans ny men formal black genuine leather belt,794,868,ligans ny men formal black genuine leather belt,795.0,695.0
71,elegance polyester multicolor abstract eyelet door curtain,1898,1145,elegance polyester multicolor abstract eyelet door curtain,1899.0,899.0
72,liza women wedges,1986,1707,liza women wedges,1990.0,1393.0
73,hrs ultimate boy elbow pads,236,279,hrs ultimate boy elbow pads,250.0,230.0
74,sathiyas cotton bath towel,582,568,sathiyas cotton bath towel,600.0,449.0
75,hrs ultimate men chest pads,435,474,hrs ultimate men chest pads,440.0,395.0
76,eurospa cotton terry face towel set,-15,0,eurospa cotton terry face towel set,,
77,santosh royal fashion cotton printed king sized double bedsheet,2695,1570,santosh royal fashion cotton printed king sized double bedsheet,2699.0,1299.0
78,casedeal microsoft nokia lumia x2 back panel,1989,472,casedeal microsoft nokia lumia x2 back panel,1999.0,380.0
79,mario gotze women's printed casual orange shirt,1486,1162,mario gotze women's printed casual orange shirt,1499.0,899.0
80,jaipur print cotton floral king sized double bedsheet,2595,864,jaipur print cotton floral king sized double bedsheet,2599.0,698.0
81,shilpi nhscn003 coin bank,880,787,shilpi nhscn003 coin bank,900.0,650.0
82,jaipur print cotton floral king sized double bedsheet,2589,806,jaipur print cotton floral king sized double bedsheet,2599.0,698.0
83,babeezworld dungaree baby boy's  combo,997,565,babeezworld dungaree baby boy's  combo,999.0,499.0
84,redbag eight armed goddess sherawali maa showpiece  -  10.8 cm,1590,1487,redbag eight armed goddess sherawali maa showpiece  -  10.8 cm,1600.0,1200.0
85,"proence weight gainers, mass gainers",1010,1107,"proence weight gainers, mass gainers",1025.0,949.0
86,discountgod men's checkered casual shirt,732,662,discountgod men's checkered casual shirt,750.0,590.0
87,silver streak men's printed casual denim shirt,1298,713,silver streak men's printed casual denim shirt,1299.0,599.0
88,"cobra paris co6394a1 analog watch  - for men, boys",18981,16829,"cobra paris co6394a1 analog watch  - for men, boys",18995.0,15195.0
89,ten ten women's black knee length boots boots,4986,2581,ten ten women's black knee length boots boots,4995.0,1995.0
90,"aries gold g 729 s-bk analog watch  - for men, boys",13682,16407,"aries gold g 729 s-bk analog watch  - for men, boys",13699.0,13099.0
91,carlton boots,3484,1379,carlton boots,3495.0,1223.0
92,maserati time r8851116001 analog watch  - for boys,24393,30971,maserati time r8851116001 analog watch  - for boys,24400.0,24400.0
93,"vizion 8503b-1red cold light digital watch  - for boys, girls",1087,769,"vizion 8503b-1red cold light digital watch  - for boys, girls",1095.0,595.0
94,"camerii wm64 elegance analog watch  - for men, boys",1088,561,"camerii wm64 elegance analog watch  - for men, boys",1099.0,449.0
95,reckler slim fit men's jeans,5383,3179,reckler slim fit men's jeans,5398.0,2599.0
96,quechua arpenaz novadry boots,2481,2748,quechua arpenaz novadry boots,2499.0,2250.0
97,"colat colat_mw20 sheen analog watch  - for men, women, boys, girls",3990,983,"colat colat_mw20 sheen analog watch  - for men, women, boys, girls",3999.0,849.0
98,steppings trendy boots,1791,844,steppings trendy boots,1799.0,719.0
99,rochees rw38 analog watch  - for boys,1414,1357,rochees rw38 analog watch  - for boys,1415.0,1202.0
100,"rorlig rr-028 expedition analog watch  - for men, boys",1084,468,"rorlig rr-028 expedition analog watch  - for men, boys",1099.0,399.0
101,catwalk boots,2086,1283,catwalk boots,2095.0,999.0
102,magnum footwear lifestyle,3982,2586,magnum footwear lifestyle,3999.0,2099.0
103,t star uft-tsw-005-bk-br analog watch  - for boys,990,469,t star uft-tsw-005-bk-br analog watch  - for boys,999.0,399.0
104,rialto boots,3275,3331,rialto boots,3295.0,2795.0
105,kielz ladies boots,2481,1583,kielz ladies boots,2499.0,1249.0
106,"alfajr wy16b youth digital watch  - for men, boys",5476,5916,"alfajr wy16b youth digital watch  - for men, boys",5495.0,4995.0
107,la briza ashley boots,2296,2840,la briza ashley boots,2299.0,2299.0
108,"tag heuer cau1116.ba0858 formula 1 analog watch  - for boys, men",107737,137323,"tag heuer cau1116.ba0858 formula 1 analog watch  - for boys, men",107750.0,107750.0
109,salt n pepper 13-019 femme black boots boots,4176,3857,salt n pepper 13-019 femme black boots boots,4195.0,3146.0
110,shuz touch boots,1497,1651,shuz touch boots,1499.0,1270.0
111,wrangler skanders fit men's jeans,2785,2254,wrangler skanders fit men's jeans,2795.0,1817.0
112,steppings trendy boots,3191,2295,steppings trendy boots,3199.0,1919.0
113,salt n pepper 14-664 denny black boots boots,4283,3869,salt n pepper 14-664 denny black boots boots,4295.0,3221.0
114,"costa swiss cs-2001 analog watch  - for boys, men",1189,513,"costa swiss cs-2001 analog watch  - for boys, men",1199.0,429.0
115,crocs boots,3977,4845,crocs boots,3995.0,3995.0
116,"breitling ab011010/bb08 131s chronomat 44 analog watch  - for boys, men",571223,726879,"breitling ab011010/bb08 131s chronomat 44 analog watch  - for boys, men",571230.0,571230.0
117,lyc white casual boots,1195,1025,lyc white casual boots,1199.0,899.0
118,myra comfortable boots,1038,573,myra comfortable boots,1049.0,499.0
119,"calibro sw-125 analog-digital watch  - for men, boys",1991,896,"calibro sw-125 analog-digital watch  - for men, boys",2000.0,699.0
120,get glamr designer uggy boots,3487,3180,get glamr designer uggy boots,3499.0,2799.0
121,kielz ladies boots,2295,1019,kielz ladies boots,2299.0,899.0
122,kielz ladies boots,1996,1187,kielz ladies boots,1999.0,999.0
123,rochees rw50 analog watch  - for boys,1110,1225,rochees rw50 analog watch  - for boys,1120.0,952.0
124,kielz ladies boots,2780,1529,kielz ladies boots,2799.0,1299.0
125,salt n pepper 13-516 greta red boots,3475,3380,salt n pepper 13-516 greta red boots,3495.0,2621.0
126,fluid dmf-002-gr01 digital watch  - for boys,1682,1026,fluid dmf-002-gr01 digital watch  - for boys,1699.0,849.0
127,steppings trendy boots,1587,825,steppings trendy boots,1599.0,639.0
128,rialto boots,3292,2738,rialto boots,3295.0,2395.0
129,"rorlig rr-030 essentials analog watch  - for men, boys",1085,472,"rorlig rr-030 essentials analog watch  - for men, boys",1099.0,399.0
130,wrangler regular fit men's jeans,3279,2305,wrangler regular fit men's jeans,3295.0,1812.0
131,steppings trendy boots,3492,2874,steppings trendy boots,3499.0,2274.0
132,"disney dw100230 digital watch  - for boys, girls",342,386,"disney dw100230 digital watch  - for boys, girls",350.0,350.0
133,salt n pepper 13-167 marsha red boots,3692,3441,salt n pepper 13-167 marsha red boots,3695.0,2771.0
134,"cartier w6701005 analog watch  - for boys, men",200990,246928,"cartier w6701005 analog watch  - for boys, men",201000.0,201000.0
135,bruno manetti cannelita boots,3394,1564,bruno manetti cannelita boots,3399.0,1359.0
136,stylistry maxis shde6603brwoboot3104 boots,2185,1785,stylistry maxis shde6603brwoboot3104 boots,2199.0,1599.0
137,"lois caron lcs-4032 analog watch  - for boys, men",1181,444,"lois caron lcs-4032 analog watch  - for boys, men",1200.0,399.0
138,"felix y 39 analog watch  - for boys, men",1536,602,"felix y 39 analog watch  - for boys, men",1550.0,525.0
139,kielz boots,2987,2706,kielz boots,2999.0,2399.0
140,kielz ladies boots,2295,1116,kielz ladies boots,2299.0,899.0
141,sakay country leather boots,3980,3877,sakay country leather boots,3999.0,3499.0
142,la briza black boots,2282,2385,la briza black boots,2299.0,2069.0
143,"kool kidz dmk-012-qu02 analog watch  - for girls, boys",362,324,"kool kidz dmk-012-qu02 analog watch  - for girls, boys",375.0,263.0
144,"franck bella fb0128b analog watch  - for men, boys",1180,1229,"franck bella fb0128b analog watch  - for men, boys",1199.0,959.0
145,steppings trendy boots,2198,1415,steppings trendy boots,2199.0,1099.0
146,"kool kidz dmk-003-yl 03 analog watch  - for girls, boys",466,368,"kool kidz dmk-003-yl 03 analog watch  - for girls, boys",475.0,333.0
147,"vizion 8502-6black sports series digital watch  - for boys, girls",1083,739,"vizion 8502-6black sports series digital watch  - for boys, girls",1095.0,595.0
148,vencer stella 7lyt1011 digital watch  - for boys,381,178,vencer stella 7lyt1011 digital watch  - for boys,399.0,144.0
149,la briza mile boots,3998,4701,la briza mile boots,3999.0,3999.0
150,"casela cas-w-13 basic analog watch  - for boys, girls",3979,1064,"casela cas-w-13 basic analog watch  - for boys, girls",3999.0,899.0
151,sneha unique boots,1794,1026,sneha unique boots,1799.0,899.0
152,timer tc_-_690143 analog watch  - for boys,1287,707,timer tc_-_690143 analog watch  - for boys,1299.0,549.0
153,ne regular fit men's jeans,4988,2180,ne regular fit men's jeans,4999.0,1899.0
154,shuz touch boots,2989,3434,shuz touch boots,2995.0,2995.0
155,kielz ladies boots,2492,1393,kielz ladies boots,2499.0,1149.0
156,"colat colat_m08 roman numerals analog watch  - for men, boys",4991,1287,"colat colat_m08 roman numerals analog watch  - for men, boys",4999.0,1049.0
157,kielz ladies boots,2287,1067,kielz ladies boots,2299.0,899.0
158,belle gambe boots,3988,2169,belle gambe boots,3999.0,1695.0
159,"titan 1639sl03 analog watch  - for boys, men",1783,2169,"titan 1639sl03 analog watch  - for boys, men",1795.0,1695.0
160,selfie boots,1191,773,selfie boots,1200.0,599.0
161,clincher semonday boots,3497,4157,clincher semonday boots,3499.0,3499.0
162,"srushti art jewelry megnet_led_sport_blackred1 digital watch  - for men, women, boys, girls",790,233,"srushti art jewelry megnet_led_sport_blackred1 digital watch  - for men, women, boys, girls",799.0,200.0
163,kielz ladies boots,2485,1446,kielz ladies boots,2499.0,1149.0
164,"q&q vq13-008 analog watch  - for girls, boys",573,620,"q&q vq13-008 analog watch  - for girls, boys",585.0,526.0
165,belle gambe boots,3495,2123,belle gambe boots,3499.0,1765.0
166,"escort e-1700-906_blk analog watch  - for men, boys",1919,2269,"escort e-1700-906_blk analog watch  - for men, boys",1925.0,1829.0
167,roxy boots,19979,12156,roxy boots,19995.0,9997.0
168,lee men's jeans,2681,2089,lee men's jeans,2699.0,1619.0
169,bruno manetti 676 boots,2979,1482,bruno manetti 676 boots,2999.0,1199.0
170,"estilo 1056 analog watch  - for boys, men",1295,371,"estilo 1056 analog watch  - for boys, men",1299.0,299.0
171,jack klein blackled digital watch  - for boys,994,187,jack klein blackled digital watch  - for boys,999.0,150.0
172,"north moon iw-005-fk silicone ion digital watch  - for boys, girls, women",220,176,"north moon iw-005-fk silicone ion digital watch  - for boys, girls, women",235.0,150.0
173,shuz touch boots,1484,1448,shuz touch boots,1499.0,1270.0
174,foot candy boots,2887,2095,foot candy boots,2899.0,1699.0
175,credos boots,4496,4097,credos boots,4499.0,3499.0
176,"rich club apple shaped led digital watch  - for boys, girls",996,164,"rich club apple shaped led digital watch  - for boys, girls",999.0,149.0
177,"skmei ad1031-black formal analog-digital watch  - for men, boys",2489,2146,"skmei ad1031-black formal analog-digital watch  - for men, boys",2499.0,1699.0
178,kielz ladies boots,2792,1535,kielz ladies boots,2799.0,1299.0
179,"kms ironman_look_led_black11 digital watch  - for men, women, girls, boys",1378,392,"kms ironman_look_led_black11 digital watch  - for men, women, girls, boys",1395.0,350.0
180,anand archies boots,492,575,anand archies boots,499.0,499.0
181,magnum footwear lifestyle boots,2992,2185,magnum footwear lifestyle boots,2999.0,1899.0
182,steppings trendy boots,2185,1390,steppings trendy boots,2199.0,1099.0
183,swag 670038 analog watch  - for boys,2480,1126,swag 670038 analog watch  - for boys,2499.0,899.0
184,bonzer boots,987,582,bonzer boots,999.0,499.0
185,roadster skinny fit fit men's jeans,2495,1414,roadster skinny fit fit men's jeans,2499.0,1249.0
186,selfie black denim boots,990,638,selfie black denim boots,1000.0,499.0
187,steppings boots boots,3193,2835,steppings boots boots,3199.0,2559.0
